2025-11-07 13:57:20 [INFO] (camera_logger_20251107_135719): Camera session ready with label: ses_2025-11-07T13:56:15.815Z
2025-11-07 13:57:20 [INFO] (camera_logger_20251107_135719): Camera session ready with label: ses_2025-11-07T13:56:27.537Z
2025-11-07 13:57:35 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['recorded_at', 'frame_idx', 'marker_id', 'rvec_x', 'rvec_y', 'rvec_z', 'tvec_x', 'tvec_y', 'tvec_z', 'image_path']
2025-11-07 13:57:37 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523857.596558', '29', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000029.jpg']
2025-11-07 13:57:37 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523857.687897', '30', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000030.jpg']
2025-11-07 13:57:37 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523857.779943', '31', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000031.jpg']
2025-11-07 13:57:37 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523857.875016', '32', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000032.jpg']
2025-11-07 13:57:37 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523857.966384', '33', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000033.jpg']
2025-11-07 13:57:38 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523858.058509', '34', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000034.jpg']
2025-11-07 13:57:38 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523858.150531', '35', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000035.jpg']
2025-11-07 13:57:38 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523858.238287', '36', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000036.jpg']
2025-11-07 13:57:38 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523858.324502', '37', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000037.jpg']
2025-11-07 13:57:38 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523858.410859', '38', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000038.jpg']
