2025-11-07 13:52:19 [INFO] (imu_logger_20251107_135219): IMU session ready with label: ses_2025-11-07T13:52:20.087Z
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613490', '-0.0078125', '-0.01953125', '0.0078125', '0.0', '-0.11190581936148891', '0.0', '16.625', '75.875', '57.625', '178.21704545983792', '1.4043716497708363', '-6.552253585282297']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613499', '0.03125', '-0.01953125', '0.0078125', '-0.22381163872297782', '0.33571745808446674', '-0.11190581936148891', '16.3125', '77.0', '59.3125', '178.21704545983792', '1.4043716497708363', '-6.552253585282297']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613512', '-0.0078125', '-0.01953125', '0.0078125', '-0.11190581936148891', '-0.11190581936148891', '0.0', '17.375', '76.25', '59.3125', '178.21704545983792', '1.4043716497708363', '-6.552253585282297']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613519', '-0.0078125', '-0.01953125', '0.0078125', '-0.11190581936148891', '0.0', '-0.11190581936148891', '17.375', '76.25', '59.3125', '178.21712483697945', '1.4044851769860613', '-6.5452701425765785']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613530', '-0.0078125', '-0.01953125', '0.0078125', '-0.11190581936148891', '0.0', '0.0', '17.0', '77.0', '58.5', '178.21712483697945', '1.4044851769860613', '-6.5452701425765785']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613539', '-0.0078125', '-0.01953125', '0.0078125', '0.0', '-0.11190581936148891', '0.0', '16.6875', '77.75', '58.875', '178.21712483697945', '1.4044851769860613', '-6.5452701425765785']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613550', '-0.0078125', '-0.01953125', '0.0078125', '0.11190581936148891', '0.0', '0.0', '17.0', '76.5625', '57.25', '178.21752548384714', '1.3975038018104984', '-6.545156610182693']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613560', '-0.0078125', '-0.01953125', '0.0078125', '-0.11190581936148891', '0.0', '0.11190581936148891', '17.0', '76.5625', '57.25', '178.21752548384714', '1.3975038018104984', '-6.545156610182693']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613569', '-0.0078125', '0.01953125', '0.0078125', '0.22381163872297782', '0.0', '0.0', '16.6875', '77.75', '58.125', '178.21752548384714', '1.3975038018104984', '-6.545156610182693']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613582', '-0.0078125', '0.01953125', '0.0078125', '0.11190581936148891', '-0.22381163872297782', '0.11190581936148891', '17.625', '76.25', '58.4375', '178.21752548384714', '1.3975038018104984', '-6.545156610182693']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613589', '-0.0078125', '0.01953125', '0.0078125', '-0.11190581936148891', '-0.22381163872297782', '0.11190581936148891', '17.6875', '78.1875', '59.3125', '178.21752548384714', '1.3975038018104984', '-6.545156610182693']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613599', '-0.0078125', '-0.01953125', '0.0078125', '0.11190581936148891', '-0.11190581936148891', '-0.22381163872297782', '17.6875', '78.1875', '59.3125', '178.21752548384714', '1.3975038018104984', '-6.545156610182693']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613609', '-0.0078125', '-0.01171875', '0.0078125', '-0.11190581936148891', '-0.22381163872297782', '-0.11190581936148891', '17.375', '77.0', '58.9375', '178.21792611632785', '1.390522414709827', '-6.545043126776937']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613620', '-0.0078125', '-0.01171875', '0.0078125', '0.11190581936148891', '0.11190581936148891', '-0.11190581936148891', '17.0625', '77.75', '58.125', '178.21792611632785', '1.390522414709827', '-6.545043126776937']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613629', '-0.0078125', '-0.01171875', '0.0078125', '0.0', '-0.11190581936148891', '-0.11190581936148891', '15.625', '78.125', '59.375', '178.22490957305735', '1.3909229175992626', '-6.544964566201446']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613640', '-0.0078125', '0.02734375', '0.0078125', '0.11190581936148891', '-0.22381163872297782', '0.22381163872297782', '15.625', '78.125', '59.375', '178.22490957305735', '1.3909229175992626', '-6.544964566201446']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613650', '-0.0078125', '0.02734375', '0.0078125', '-0.22381163872297782', '-0.22381163872297782', '0.0', '17.6875', '77.4375', '59.3125', '178.21792611632785', '1.390522414709827', '-6.545043126776937']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613659', '0.03125', '-0.01171875', '0.0078125', '0.0', '-0.22381163872297782', '-0.11190581936148891', '17.6875', '77.4375', '59.3125', '178.2253101824023', '1.3839415054639632', '-6.544851555908626']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613672', '0.03125', '-0.01171875', '0.0078125', '0.0', '0.11190581936148891', '-0.22381163872297782', '16.0', '78.5', '58.9375', '178.2253101824023', '1.3839415054639632', '-6.544851555908626']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613679', '0.03125', '-0.01171875', '0.0078125', '-0.11190581936148891', '-0.11190581936148891', '-0.11190581936148891', '16.0', '78.5', '58.9375', '178.2253101824023', '1.3839415054639632', '-6.544851555908626']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613687', '0.03125', '-0.01171875', '0.0078125', '-0.22381163872297782', '0.33571745808446674', '0.0', '16.0', '78.5', '58.9375', '178.2253101824023', '1.3839415054639632', '-6.544851555908626']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613702', '-0.0078125', '-0.01171875', '0.0078125', '0.0', '0.11190581936148891', '-0.22381163872297782', '16.6875', '76.5625', '58.0625', '178.2253101824023', '1.3839415054639632', '-6.544851555908626']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613710', '-0.0078125', '-0.01171875', '0.0078125', '-0.11190581936148891', '0.44762327744595565', '-0.11190581936148891', '16.6875', '76.5625', '58.0625', '178.22498816528818', '1.3910359146818347', '-6.537981077816628']
